@relation MusicPredict

@attribute asr numeric
@attribute assr numeric
@attribute assnr numeric
@attribute fan numeric
@attribute video {No,Yes}
@attribute likC {C,D,B,A}

@data
286000,316000,5920,126386,No,C
24000,642,?,10036,Yes,D
489000,9440,?,57149,No,D
245000,47700,2150,24221,No,D
400000,13200,?,23062,Yes,D
1720000,16300,149,38312,Yes,C
172000,172000,172000,10187,No,D
374000,235000,1520,36217,No,C
23500,9650,?,68,No,D
60500,9,?,1314,No,D
164000,7630,?,481,No,D
55,?,?,22,No,D
880000,27600,4130,166265,Yes,B
903000,72100,1030,21233,Yes,C
5290000,125000,2610,80,No,D
116,72,?,3,No,D
973000,11600,903,51633,No,D
331000,91400,1610,66767,Yes,C
59400,6020,69,3125,No,D
39800,160,?,667,No,D
7430000,243000,5790,129,No,D
527000,82200,349,63,No,D
585000,8600,113,24501,Yes,C
13400000,145000,15000,652247,No,A
824000,5770,?,25,No,D
?,?,3680,563,No,D
14500,296000,3220,79,No,D
230,5,?,19,Yes,D
272000,34400,329,4080,No,D
16000,167,?,690,No,D
1540,5,?,150,No,D
12900,2400,?,570,Yes,D
110000,4010,4010,516,Yes,D
13000,7020,?,363,No,D
161000,44500,?,26,No,D
62400,5140,?,1986,No,D
1430000,1240,40,2709,Yes,D
1490000,72400,5530,36185,Yes,B
96500,33100,171,2859,Yes,C
8260000,180000,6400,189090,No,A
1660000,162000,509,7289,No,C
240,?,?,30,No,D
238000,9,?,272,No,D
1740,162,?,129,No,D
698000,28100,28100,186,No,D
188000,14700,?,11828,No,C
24100,3520,?,467,No,D
265000,79400,538,77,No,D
11700,2340,?,3318,Yes,C
170000,7570,?,4922,Yes,D
234000,9,?,113,No,D
44600,8,?,4894,No,D
247000,15600,640,35648,No,C
1040000,363000,?,3991,Yes,D
881,710000,397,1978,Yes,D
2130000,302000,1300,191,No,D
214000,65900,4800,68508,Yes,B
232000,23400,5360,506,Yes,C
735000,321000,568,134790,Yes,B
880000,5140,?,9,No,D
69100,8070,?,3474,No,D
500000,29700,5880,53673,No,C
101000,365,?,1880,No,D
22300,592,?,118,No,D
141000,2410,?,125,No,D
143000,8,?,9650,No,D
17500,24000,?,216,No,D
191000,48500,2620,1350,Yes,C
12700,8110,?,16904,No,C
2770,5,?,811,No,D
12900000,2140000,67000,104,No,A
219000,9870,?,14,No,D
25600,13500,?,831,No,D
75700,7,?,91,No,D
92100,7920,?,252,Yes,D
703000,185000,3960,331,Yes,D
1040000,200000,1900,249,No,D
1880,6,?,462,No,D
14800,153000,?,3466,Yes,C
686000,33500,?,3135,No,D
466000,7520000,2700,3050,Yes,D
19400,4420,?,430,Yes,D
10700000,187000,29900,36465,Yes,A
428000,228000,223,1582,No,C
146000,9740,132,10377,No,C
893000,184000,1590,1521,No,D
409000,230000,11100,2495,Yes,C
297000,9030,434,954,Yes,D
79200,198,?,203,No,D
36000,1440,177,159,Yes,D
3100,147,?,134,Yes,D
8740,5,?,4,No,D
502000,61900,?,621,No,D
2150,96,96,170,No,D
15000,624,?,295,No,D
4140000,40800,?,30,Yes,D
3710,494,?,55,No,D
229000,14800,?,2711,No,D
558,3290,?,1717,No,D
112000,6570,?,3990,No,D
79800,18000,3360,17701,Yes,B
1740000,33300,1520,6897,Yes,B
?,?,21300,92997,Yes,B
3420,220,?,300,No,D
83000,1920,1920,16502,No,D
159000,42600,22,120,No,D
335000,71500,415,170,No,D
4940,7,?,1309,No,D
16900,2080,?,22,No,D
515,30,?,652,No,D
445000,186000,9080,2074,Yes,D
492000,6930,141,1104,No,D
327,82,?,121,No,D
171000,33100,700,387,Yes,D
10600,6,?,116,No,D
223000,21100,337,525,No,D
414000,115000,3620,7034,No,C
135000,7,?,5833,No,D
319000,6400,29,12263,Yes,D
20100,396,?,2,No,D
5370000,516000,1430,31,Yes,D
186000,7,?,74,No,D
13700000,63800,1700,13555,Yes,C
188000,14500,?,2505,No,D
753000,3350,?,1134,No,D
362000,9160,?,133,No,D
136000,2880,?,373,No,D
2660,5,5,2606,No,D
243000,22500,2220,41348,Yes,C
78000,23700,6520,635,Yes,C
19300,1690,88,926,No,D
1280000,231000,3680,5291,Yes,C
51300,5370,?,1616,Yes,D
51900,2260,127,107,No,D
215000,300000,?,323,No,D
172000,?,60,261,No,D
50000,1820,?,360,No,D
1260,135,?,69,No,D
38000,883,?,1595,No,D
687,94,?,242,No,D
1510000,13500,2620,4538,No,D
7130000,136000,641,169,No,D
174000,31300,21,838,No,D
99400,9,148,790,No,D
421000,63400,?,724,No,D
591000,669000,3820,2238,No,D
16000,164,?,16136,No,C
170000,219,219,0,Yes,C
15600000,178000,1550,143,Yes,D
66600,3220,?,1362,No,D
253000,5900,?,24,No,D
249000,8430,?,1561,Yes,D
482000,18300,100,3604,No,C
695000,167000,?,288,Yes,D
570000,38100,?,32,No,D
467,52,?,46,No,D
70000000,280000,11100,34,No,D
67000,10900,355,26376,Yes,D
7380,2930,?,10,Yes,D
1720000,65000,184,38313,Yes,C
1300,194,?,317,No,D
194000,937,?,20,No,D
4280,2900,?,2169,Yes,D
11500000,138000,15000,572106,No,A
895000,151000,321,1385,Yes,D
13800,835,?,28,No,D
6300,605,?,4231,No,C
53200,16900,16900,5749,Yes,B
6420000,292000,3380,18847,Yes,C
177000,1090,1090,7674,No,D
197000,4440,490,2673,Yes,D
2570000,1440000,9690,383,Yes,D
230000,0,?,100,No,D
316000,80,?,782,No,D
1630,8,?,121,No,D
327000,136000,?,70,No,D
13400000,135000,14500,652274,No,A
478000,257000,5630,3380,No,D
8060,4160,?,562,No,D
34100,3550,?,7629,No,D
147000,109000,?,67,Yes,D
108000,37600,1500,396,No,D
356000,59500,706,3016,No,D
489000,42000,2260,57149,Yes,B
60000,1060,?,5563,Yes,C
1720000,867000,795,38313,Yes,B
286000,3160,?,13795,Yes,D
6330000,37900,925,528,No,D
3700,148,?,906,No,D
111000,2460,336,925,No,D
659000,236000,36,100,No,D
2930,38,?,710,No,D
771000,13100,125,301,No,D
292000,243000,?,42,Yes,D
6210,317000,3380,273,No,D
60200,7,?,216,No,D
147000,61200,?,165,No,D
6460000,162000,3430,21398,Yes,D
528000,161,?,24502,No,C
177000,328000,987,47,Yes,D
195000,144000,176,8,No,D
5140000,5630,?,1880,Yes,D
144000,6570,256,61295,Yes,C
30700,631,?,558,Yes,D
491000,49200,9080,5211,Yes,C
803000,22600,505,19787,Yes,C
205000,30700,352,28510,Yes,C
6450,199,?,708,No,D
6080,207,?,99,No,D
155000,2390,?,77,No,D
374000,10600,?,488,No,D
216000,7,?,516,No,D
1110000,2690,48,244,No,D
441000,7,?,505,No,D
106,5,?,42,No,D
687000,27300,690,37839,Yes,C
69800,1710,483,1451,Yes,C
517000,1390,?,242,Yes,D
52900,28700,212,2772,No,D
